year,month,total_psyllids,total_tamarixia
2020,3,200,63
2020,12,1668,1822
2021,1,29029,9297
2021,2,4183,2432
2021,3,13508,4615
2021,4,200,101
2021,11,27100,3309
2021,12,25200,4720
2022,1,9817,1808
2022,2,11562,4072
2022,3,7300,2707
2022,4,9098,5808
2022,5,26962,5081
2022,6,6300,1005
2022,7,600,315
